文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特表2002-537079,            特願2000-600734,2000/02/23,2000/08/31,スキー案内圧力増幅プレート（スノースピード）,ローランド、ビュンター,",A63C9/00@C,A63C9/00@Z,"
特開2000-230062,            特願平11-033935,1999/02/12,2000/08/22,表面にマーキングを施したポリアセタール樹脂成形体,旭化成ケミカルズ株式会社,",C08J7/00,302,C08J7/00,C08K3/04,他,"
特開2000-226154,            特願2000-022738,2000/01/31,2000/08/15,巻き取り装置,バルマーク　アクチエンゲゼルシヤフト,",B65H54/06,B65H54/52@B,B65H54/547,"
特開2000-202087,            特願2000-004757,2000/01/13,2000/07/25,特に靴に用いられる支持装置,ベネトン　グループ　ソシエタ　ペル　アチオニ,",A63C5/00@C,A63C9/00,101@B,A63C9/00,101@D,他,"
実登3070198,            実願2000-000037,2000/01/07,2000/07/18,アキレス腱保護具,株式会社桑田,",A41D13/06,A41D13/015,105,A41D13/05,162,"
特開2000-199021,            特願2000-033705,2000/02/10,2000/07/18,銅合金及びその製造方法,ＴＯＴＯ株式会社,",C22C9/02,C22C9/04,C22F1/00,612,他,"
実登3070043,            実願平11-009911,1999/12/28,2000/07/14,調節自在スノーボード用ビンディング,株式会社　キャラッツ,",A63C5/00@C,A63C9/00,101@L,A63C9/02,他,"
特表2002-534173,            特願2000-592060,2000/01/04,2000/07/13,雪およびその他の滑走可能な媒体上において制御された運動を行うための２部分からなるスノーボード,リーク，ヴォルフガング,",A63C5/00@C,A63C5/02@B,A63C5/16,"
特開2000-189423,            特願平10-370758,1998/12/25,2000/07/11,穿刺用超音波プローブ、穿刺アダプタ及び体腔内超音波プローブ,東芝メディカル製造株式会社              他,",A61B8/12,A61B8/14,H04R17/00,330@G,"
特表2002-533375,            特願2000-590599,1999/11/30,2000/07/06,水不溶性線状ポリ－α－グルカンのＵＶフィルターとしての使用,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A61K7/035,A61K7/42,A61K8/00,他,"
特表2002-533374,            特願2000-590597,1999/11/30,2000/07/06,非分岐水不溶性ポリグルカン系の球状微粒子を含む口腔衛生製品,セラニーズ　ベンチャーズ　ゲーエムベーハー,",A23G3/30,A61K7/16,A61K8/00,他,"
特表2002-533364,            特願2000-590577,1999/11/30,2000/07/06,局所適用用美容製剤または医薬製剤,セラニーズ　ベンチャーズ　ゲーエムベーハー,",A61K7/02@J,A61K7/48,A61K8/00,他,"
特表2002-533363,            特願2000-590576,1999/11/30,2000/07/06,水不溶性直鎖ポリグルカンをベースにした微粒子を有する日焼け防止製品,セラニーズ　ベンチャーズ　ゲーエムベーハー,",A61K7/42,A61K8/00,A61K8/73,他,"
特表2002-533107,            特願2000-590499,1999/11/30,2000/07/06,食品および薬剤製造用α－アミラーゼ耐性デンプン,シューズッカー　アクチェンゲゼルシャフト　マンハイム／オクセンフルト,",A23K1/16,303@D,A23L1/00@N,A23L1/09,他,"
実登3069965,            実願平11-009821,1999/12/27,2000/07/04,スノーボードウエアー,鈴木　正,",A41D3/00@B,A41D13/00@H,A47C27/00@K,他,"
特開2000-178183,            特願平10-359641,1998/12/17,2000/06/27,固形製剤及びその製造方法,ライオン株式会社,",A61K9/20@E,A61K9/20,A61K47/10@B,他,"
特開2000-166602,            特願平11-343332,1999/12/02,2000/06/20,スノーボード接続具及びスノーボードブーツ,株式会社シマノ,",A43B5/04@Z,"
実登3106036,            実願2000-600076,1999/12/02,2000/06/15,調節可能なストラップ,ザ・バートン・コーポレイション,",A43B5/04@H,A63C5/00@C,A63C9/00,101@C,他,"
実登3087524,            実願2000-600077,1999/12/07,2000/06/15,履物のためのタング補剛材,ザ・バートン・コーポレイション,",A43B5/04@H,A43B23/26,"
特表2002-531328,            特願2000-586586,1999/12/06,2000/06/15,展張可能な人工衛星構造体用抑止・解放機構,アストリウム・ゲゼルシャフト・ミット・ベシュレンクテル・ハフツング,",B64G1/64@B,B64G1/64,"
特表2002-531191,            特願2000-584970,1999/11/26,2000/06/08,スペーサおよびそれを用いたスノーボード,ショーン・パルマー・リミテッド,",A63C5/00@C,A63C9/00,101@G,A63C9/02,他,"
特表2002-530454,            特願2000-582458,1999/11/05,2000/05/25,ポリ（α－１，４－Ｄ－グルカン）およびそれを含有する熱可塑性ポリマー混合物,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A01N25/00,101,A01N25/10,A01N25/34@A,他,"
特開2000-140188,            特願平11-319013,1999/11/10,2000/05/23,剛性を調節可能なベ―スを有するスノ―ボ―ドビンディング,カルザツリフィシオ　ピバ　エス・アール・エル,",A63C5/00@C,A63C9/00,101@J,A63C9/00,101@Z,他,"
特開2000-126353,            特願平10-338354,1998/10/23,2000/05/09,偏芯２軸蝶番付折畳みスキー板,伊集院　勝,",A63C5/02@A,"
実登3068038,            実願平11-007635,1999/10/07,2000/04/21,バックル,簡　▲瑜▼澤,",A43B5/04@H,A44B11/24,"
実登3087523,            実願2000-600005,1999/10/08,2000/04/20,調節可能な剛性を備えるハイバック,ザ・バートン・コーポレイション,",A63C5/00@C,A63C9/00,101@M,A63C9/08@Z,他,"
特表2002-527376,            特願2000-575481,1999/10/02,2000/04/20,活性物質非経口投与用組成物,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A61K9/14,A61K9/50,A61K9/52,他,"
特開2000-084139,            特願平10-301586,1998/09/16,2000/03/28,スノーボード運搬用ベルト式リュック,山田　敏夫,",A63C5/00@C,A63C11/02@A,"
再表00/013538,            特願2000-568352,1998/12/07,2000/03/16,ユニバーサルシューズ,-,",A43B5/00,310,A43B5/04@S,A63C9/02,"
特表2002-523599,            特願2000-567623,1999/08/13,2000/03/09,平滑な表面を持ち全部または一部が少なくとも一つの水不溶性線状多糖からなる球状微粒子の製造方法および前記方法によって得ることができる微粒子,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",C08B37/00@C,C08B37/00@Z,C08J3/14,他,"
特表2002-523584,            特願2000-567599,1999/08/14,2000/03/09,全部または一部が少なくとも一つの水不溶性分岐含有ポリグルカンからなる球状微粒子の製造方法および前記方法によって得ることができる微粒子,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",B01J19/00@N,C08J3/14,"
特表2002-523583,            特願2000-567598,1999/08/14,2000/03/09,少なくとも一つの水不溶性線状多糖からなる小球状粒子の製造方法,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",B01D9/02,601@L,B01D9/02,602@B,B01D9/02,604,他,"
特表2002-523155,            特願2000-565973,1999/08/18,2000/03/02,スポーツ機器,アライアンス　デザイン　アンド　ディヴェロプメント　グループ,",A63B49/02@Z,A63B49/10,A63B53/10@A,他,"
特開2000-050903,            特願平11-192959,1999/07/07,2000/02/22,スノーボードブーツ,株式会社シマノ,",A43B5/04@Z,A43B7/24,A43B23/08,"
特表2002-522289,            特願2000-563506,1999/07/16,2000/02/17,自動車のウィンドスクリーン用ワイパー,ヴァレオ　システム　デシュヤージュ,",B60S1/34@A,B60S1/38@D,B60S1/40@B,他,"
特開2000-042164,            特願平11-192094,1999/07/06,2000/02/15,スキ―またはスノ―ボ―ドを処理するための装置および方法,プロダクツ　４　ユウ　ゾンダーマシーネンバオ　ゲーエムベーハー,",A63C11/04,"
特表2002-521703,            特願2000-560689,1998/11/23,2000/01/27,通信接続参加者の信頼性レベルを確立する方法,インターナショナル・ビジネス・マシーンズ・コーポレーション,",G09C1/00,640@B,G09C1/00,640@Z,H04B7/26,109@R,他,"
特開2000-024163,            特願平10-228504,1998/07/07,2000/01/25,スキー用フットホルダー,濱田　博康,",A63C5/00@C,A63C9/00,101@M,A63C9/02,他,"
特開2000-024162,            特願平11-191909,1999/07/06,2000/01/25,雪上使用用ボ―ド,アクティブ・コントロール・エクスパーツ・インコーポレーテッド,",A63C5/00@A,A63C5/00@C,A63C5/075,"
特表2002-520425,            特願2000-559155,1999/06/15,2000/01/20,α－アミラーゼ耐性ポリサッカライド、その作製方法、使用ならびにこれらポリサッカライドを含む食品,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A23L1/308,C08B30/12,C08B37/00@G,他,"
特開2000-010792,            特願平11-146389,1999/05/26,2000/01/14,グロ―バルレジスタシステム、方法及びコンピュ―タプログラム製品,サン・マイクロシステムズ・インコーポレーテッド,",G06F9/44,322@H,G06F8/41,130,"
特開2000-010791,            特願平11-146388,1999/05/26,2000/01/14,グロ―バルレジスタを初期化するための方法、コンピュ―タプログラム製品及び装置,サン・マイクロシステムズ・インコーポレーテッド,",G06F9/44,322@A,G06F8/41,"
