文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特表昭55-500097,            特願昭54-500387,1979/02/20,1979/09/06,例えばスキ－に取り付けられたセフテイ・スキ－・ビンデイングの再セツテイングの能力を試験するための方法および装置,マ－カ－　ハンネス,",A63C9/00,"
特開昭54-114350,            特願昭54-012140,1979/02/05,1979/09/06,改良スキ－ブ－ツ,ジヨエル　ハワ－ド　アイゼンバ－グ,",A43B5/04@E,A43B19/00,"
特開昭54-111932,            特願昭54-009282,1979/01/31,1979/09/01,セフテイビンデイング付のスキ－のブレ－キ,ハンス・ヴエルリ,",A63C7/10@B,"
特表昭55-500850,            特願昭54-500413,1979/02/06,1979/08/23,スキ－用安全ビンデイング,＊　マ－カ－　ハンネス,",A63C9/081,"
特開昭54-100256,            特願昭53-006493,1978/01/24,1979/08/07,ワイヤカツテイング装置,超音波工業株式会社,",H01L21/60,301@G,"
特開昭54-098833,            特願昭53-137994,1978/11/10,1979/08/04,セフテイビンデイング,ポライヤ・プロダクト・デザイン・ゲゼルシヤフト・ミツト・ベシユレンクタ－・ハフツング,",A63C9/085,"
特開昭54-098832,            特願昭53-114023,1978/09/16,1979/08/04,スキ－ビンデイング用セイフテイトウピ－ス,ソシエテ　アノニム　エ－テ－エス・フランソワ　サロモン　エ　フイス,",A63C9/085,"
特開昭54-097124,            特願昭53-154589,1978/12/12,1979/08/01,スキ－ブレ－キ,フエルアイニヒテ　バウベシユラ－クフアブリ－ケン　グレツチユ　ウント　ツエオ－．ゲ－エムベ－ハ－,",A63C7/10@B,"
特開昭54-089848,            特願昭52-152798,1977/12/19,1979/07/17,スキ－ピンデング,リチヤ－ド　ジ－　スパ－ドマン,",A63C9/08@A,A63C9/086,"
特開昭54-083769,            特願昭52-152012,1977/12/17,1979/07/04,ボンデイング装置,東京芝浦電気株式会社,",H01L21/52@F,"
実全昭54-089976,            実願昭52-163844,1977/12/08,1979/06/26,スキ－,小賀坂　広治,",A63C5/06@A,"
特開昭54-078229,            特願昭52-145568,1977/12/03,1979/06/22,スキ－用救助具,秋田　幸宏,",A63C5/00@B,B62B13/00,"
特開昭54-077571,            特願昭52-144874,1977/12/02,1979/06/21,ネイルヘッドボンデイング方法,東京芝浦電気株式会社,",H01L21/60,301@D,H01L21/603@B,"
特表昭54-500095,            特願昭54-500151,1978/11/20,1979/06/14,ステツプイン　サイドクランプ式スキ－安全解放装置,スペ－ドマン　リチヤ－ド　ジヨ－ジ,",A63C9/086,"
特表昭54-500056,            特願昭54-500152,1978/11/20,1979/06/14,ステツプイン　サイドクランプ式スキ－安全解放装置,スペ－ドマン　リチヤ－ド　ジヨ－ジ,",A63C9/08@A,A63C9/084,"
実全昭54-072177,            実願昭52-144814,1977/10/28,1979/05/22,スキ－の流止めブレ－キ装置,坪井　清治              他,",A63C7/10@B,"
実全昭54-072176,            実願昭52-144936,1977/10/31,1979/05/22,スキ－,小賀坂　広治,",A63C5/04,"
実全昭54-072175,            実願昭52-144935,1977/10/31,1979/05/22,スキ－,小賀坂　広治,",A63C5/048,"
特開昭54-060560,            特願昭52-126754,1977/10/24,1979/05/16,高周波半導体装置,沖電気工業株式会社,",H01L23/12,301@Z,H01L25/04@Z,H01P1/15,"
特開昭54-054571,            特願昭52-121714,1977/10/11,1979/04/28,半導体装置のワイヤ－ボンディング方法,東京芝浦電気株式会社,",H01L21/60,301@G,H01L21/603@B,"
特開昭54-053042,            特願昭53-096269,1978/08/09,1979/04/26,クロスカントリスキ－用ビンデイング,ポライヤ・プロダクト・デザイン・ゲゼルシヤフト・ミツト・ベシユレンクタ－・ハフツング,",A63C9/081,"
特開昭54-046470,            特願昭52-113024,1977/09/20,1979/04/12,半導体チップのボンディング方法およびボンディング装置,東京芝浦電気株式会社,",H01L21/60,311@T,"
特開昭54-044947,            特願昭53-103755,1978/08/25,1979/04/09,安全スキ－ビンデイング,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/081,"
特開昭54-029693,            特願昭52-095462,1977/08/09,1979/03/05,圧力検出装置,株式会社東芝,",G01L9/04,101,"
特開昭54-029224,            特願昭53-023433,1978/02/28,1979/03/05,スキ－用ビンデイング,クルト・フオン・ベツセル,",A63C9/081,"
特開昭54-023390,            特願昭53-088238,1978/07/19,1979/02/21,半導体装置のための微小領域形成方法,テキサス　インスツルメンツ　インコ－ポレイテツド,",H01L27/10,325@S,H01L27/10,681@D,H01L29/76,301@G,他,"
特開昭54-022244,            特願昭53-084973,1978/07/11,1979/02/20,安全スキ－ビンデイング,ハンネス・マ－カ－,",A63C9/081,"
実全昭54-022874,            実願昭52-096189,1977/07/18,1979/02/15,スキ－板用補助具,黒田　恭一,",A63C5/00@B,A63C5/06@A,A63C5/16,他,"
特開昭54-019833,            特願昭53-077952,1978/06/27,1979/02/14,安全スキ－ビンデイング,ハンネス・マ－カ－,",A63C9/081,"
特開昭54-016246,            特願昭53-083480,1978/07/07,1979/02/06,セ－フテイスキ－ビンデイング用ト－金具,ハンネス　マルケル,",A63C9/085,"
特開昭54-014831,            特願昭53-078484,1978/06/28,1979/02/03,スキービンデイング用安全前バツケン,ソシエテ　アノニム　エ－テ－エス・フランソワ　サロモン　エ　フイス,",A63C9/085,"
実全昭54-016573,            実願昭52-086094,1977/07/01,1979/02/02,スキ－バンド,藤田　武四郎,",A63C9/00@A,A63C9/00@D,A63C11/02@A,他,"
実全昭54-016572,            実願昭52-086093,1977/07/01,1979/02/02,スキ－バンド,藤田　武四郎,",A63C9/00@A,A63C9/00@D,A63C11/02@A,"
特開昭54-011666,            特願昭52-076749,1977/06/28,1979/01/27,マイクロ波高出力トランジスタ,日本電気株式会社,",H01L23/12,301@Z,"
特開昭54-010041,            特願昭52-074280,1977/06/22,1979/01/25,スキ－・ビンデイングとスキ－の結合器,デイ－タ－　カンメルル,",A63C9/00@C,"
特開昭54-004171,            特願昭52-069279,1977/06/11,1979/01/12,デジタル電子時計,株式会社東芝,",G04G9/00,304@B,G04G9/00,306@Z,"
特開昭53-140137,            特願昭53-029997,1978/03/17,1978/12/06,雪上滑走装置,ウイ－デルマン・リ－デル・ゲゼルシヤフト・ミト・ベシユレンクテル・ハフツング,",A63C5/00@B,"
実全昭53-154080,            実願昭53-046952,1978/04/12,1978/12/04,スキ－ビンデイングのヒ－ルピ－ス,ホ－プ株式会社,",A63C9/084,"
特開昭53-137735,            特願昭53-029753,1978/03/15,1978/12/01,スキ－靴,ライムンド・ベ－・フオ－ゲル,",A43B5/04@R,"
特開昭53-136630,            特願昭53-006080,1978/01/23,1978/11/29,電気エネルギ－貯臓装置およびその電極構造物,ロツクウエル・インタ－ナシヨナル・コ－ポレ－シヨン,",H01M4/40,H01M6/20,H01M10/39@D,"
特開昭53-133135,            特願昭52-047751,1977/04/25,1978/11/20,クロスカントリ用のスキ－・ビンデイング,アデイダス　フアブリ－ク　ド　シヨ－スユ－ル　ド　スポ－ル,",A63C9/10,"
特開昭53-132262,            特願昭52-046944,1977/04/22,1978/11/17,半導体装置の電極形成法,三菱電機株式会社,",H01L21/288@M,"
特開昭53-123237,            特願昭53-035245,1978/03/27,1978/10/27,スキ－靴とスキ－との締結装置,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/08@A,A63C9/086,"
特開昭53-108372,            特願昭52-022759,1977/03/04,1978/09/21,ワイヤレスボンデイング用基板,沖電気工業株式会社,",H01L21/60,311@Q,H01L21/60,321@V,H01L21/66@R,"
特開昭53-107366,            特願昭52-021998,1977/03/01,1978/09/19,マトリクスドライブ表示を持つ電子時計,シチズン時計株式会社,",G04D7/12@F,G04G1/00@A,G04G1/00,他,"
特開昭53-104333,            特願昭53-020381,1978/02/23,1978/09/11,一体型スキ－ブレ－キを有するスキ－ビンディング,フエルアイニヒテ・バウベスジユラ－クフアブリケン・グレツチユ・ウント・ツエオ－・ゲ－エムベ－ハ－,",A63C7/10@B,A63C9/084,"
特開昭53-104332,            特願昭53-020380,1978/02/23,1978/09/11,ビンディングケ－スに揺動自在に取付けた靴底ホルダと一体型スキ－ブレ－キとを有する安全スキ－ビンディング,フエルアイニヒテ・バウベスジユラ－クフアブリケン・グレツチユ・ウント・ツエオ－・ゲ－エムベ－ハ－,",A63C7/10@B,A63C9/084,"
実全昭53-112266,            実願昭52-013576,1977/02/09,1978/09/07,半導体装置,東京芝浦電気株式会社,",H01L21/60,311@Q,H01L21/60,321@X,H01L23/12,301@Z,"
特開昭53-100771,            特願昭52-014625,1977/02/15,1978/09/02,半導体装置の組立方法及び組立装置,沖電気工業株式会社,",H01L21/50@B,H01L21/52@C,H01L21/60,301@D,他,"
特開昭53-099886,            特願昭53-015825,1978/02/14,1978/08/31,電気回路装置の調整制御回路,プレシジヨン・モノリシツクス・インコ－ポレ－テツド,",H01L27/04@F,H01L27/04@V,H01L27/04,他,"
特開昭53-099786,            特願昭52-013768,1977/02/10,1978/08/31,発光ダイオ－ドの側面による表示方法,スタンレー電気株式会社,",H01L33/00@N,H01L33/00,184,H01L33/00,424,他,"
特開昭53-097532,            特願昭53-001493,1978/01/10,1978/08/25,調節可能なスキ－ブレ－キ,クルト・フオン・ベツセル,",A63C7/10@B,"
特開昭53-095732,            特願昭52-140817,1977/11/25,1978/08/22,スキ－ブレ－キ,ハンス・ヴエルリ・クンストハルツプレツセリイ,",A63C7/10@B,"
実全昭53-097070,            実願昭53-001646,1978/01/11,1978/08/07,ヒ－ル用ビンデイング,田上　四郎,",A63C9/00@C,A63C9/084,"
実全昭53-097069,            実願昭53-001645,1978/01/11,1978/08/07,スキ－用ビンデイング装置,田上　四郎,",A63C9/085,"
特開昭53-085637,            特願昭52-158527,1977/12/29,1978/07/28,スキ－の安全ビンデング,ソシエテ・アノニム・エタブリスマン・フランソワ・サロモン・エ・フイス,",A63C9/088,"
実全昭53-092154,            実願昭52-165109,1977/12/08,1978/07/27,半導体装置を用いた回路ユニツト,東京芝浦電気株式会社,",H01L21/60,311@S,H01L23/12@L,H05K1/18@L,"
実全昭53-085259,            実願昭51-166720,1976/12/14,1978/07/13,スキ－,　小賀坂　広治,",A63C5/06@A,A63C5/12@E,"
特開昭53-078768,            特願昭51-154244,1976/12/23,1978/07/12,半導体素子のワイヤ－ボンデイング方法,東京芝浦電気株式会社,",H01L21/60,301@N,"
特開昭53-077731,            特願昭52-132399,1977/11/04,1978/07/10,クロスカントリ用スキ－ビンデイング,フエルアイニヒテ・バウベシユラ－クフアブリ－ケン・グレツチユ・ウント・コンパニイ・ゲゼルシヤフト・ミツト・ベシユレンクテル・ハフシング,",A63C9/10,"
特開昭53-074933,            特願昭52-112105,1977/09/17,1978/07/03,ボブ・スキ－,ジヤン－イブ　エバクウオズ,",A63C5/00@A,A63C5/00@B,B62B13/02,他,"
特開昭53-069736,            特願昭52-132126,1977/11/02,1978/06/21,スキ－ビンデイングおよびそのためのつま先止め具,ム－グ・インコ－ポレ－テツド,",A63C9/085,"
実全昭53-070976,            実願昭51-153245,1976/11/17,1978/06/14,スキ－・ケ－ス,株式会社朝比奈製作所,",A63C11/02@E,"
特開昭53-065131,            特願昭52-136146,1977/11/11,1978/06/10,スキ－およびストック用運搬具,ジエ－ムス・イ－・クナウフ,",A63C11/02@A,"
特開昭53-065130,            特願昭51-138254,1976/11/17,1978/06/10,スキ－ビンデイングの取付構造,ロカルデル　アンシユタルト,",A63C9/00@C,"
特開昭53-059547,            特願昭52-131379,1977/11/01,1978/05/29,スキ－ビンデイング装置,ルツク,",A63C9/00@C,"
特開昭53-056968,            特願昭51-131459,1976/11/01,1978/05/23,高周波半導体装置,東京芝浦電気株式会社,",H01L21/60,301@N,"
特開昭53-055248,            特願昭52-129560,1977/10/28,1978/05/19,安全スキービンデイングの踵保持装置,ジ－ン・ジョセフ・アルフレッド・ベイル,",A63C9/084,"
特開昭53-053443,            特願昭52-113140,1977/09/20,1978/05/15,運動装置,インジエニエ－ルビユ－ロ－・アリゴ・シユミツト,",A63C17/02,"
特開昭53-046827,            特願昭51-121609,1976/10/07,1978/04/26,スキ－用多目的リユツク,田中　義孝,",A63C11/02@E,"
特開昭53-042944,            特願昭52-115027,1977/09/24,1978/04/18,スキ－靴の踵部保持装置,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/08@A,A63C9/082,A63C9/084,"
特開昭53-038274,            特願昭51-112428,1976/09/21,1978/04/08,ＬＣ複合回路,沖電気工業株式会社,",H01G4/40,321,H01L27/04@L,H01L29/66,"
特開昭53-034048,            特願昭52-095969,1977/08/10,1978/03/30,ピストン油調整リング,シ－ルド・パワ－・コ－ポレ－シヨン,",F16J9/06@B,F16J9/20,"
特開昭53-030873,            特願昭51-104992,1976/09/03,1978/03/23,ＩＣの実装構造,シチズン時計株式会社,",H01L21/60,311@S,H05K3/34,502@D,"
実全昭53-030873,            実願昭51-113137,1976/08/23,1978/03/16,半導体装置,シャープ株式会社,",H01L21/60,311@Q,H01L21/603@A,"
特開昭53-025124,            特願昭51-099210,1976/08/19,1978/03/08,離脱調節自在のスキ－留具,グレン・ア－ル・スエンソン,",A63C9/085,"
特開昭53-021355,            特願昭52-094048,1977/08/05,1978/02/27,係留ねじ装置,ルツク,",F16B41/00@B,"
特開昭53-015936,            特願昭52-089124,1977/07/25,1978/02/14,クロスカントリ用スキ－ボンデイング,フエルアイニヒテ・バウベシユラ－クフアブリ－ケン・グレツチユ・ウント・コンパニイ・ゲゼルシヤフト・ミツト・ベシユレンクテル・ハフツング,",A63C9/10,"
特開昭53-014043,            特願昭52-008859,1977/01/31,1978/02/08,スキ－・ビンデイングとスキ－の結合器,デイ－タ－　カンメルル,",A63C9/00@C,"
実全昭53-010371,            実願昭51-033209,1976/03/19,1978/01/28,スキ－板傷防止テ－プ,矢川　博,",A63C5/048,"
実全昭53-010288,            実願昭51-090447,1976/07/09,1978/01/27,半導体発光表示装置,沖電気工業株式会社,",F21V19/00@P,F21V19/00,170,F21V19/00,600,他,"
特開昭53-008225,            特願昭52-045991,1977/04/22,1978/01/25,靴底に凹部が形成されたスキ－靴,ギルバ－ト・バ－トン・オウクス,",A43B5/04@S,A63C9/086,"
特開昭53-006072,            特願昭51-079869,1976/07/07,1978/01/20,時計の表示体,シチズン時計株式会社,",G02F1/15,506,G02F1/17,101,G04G9/00,301@A,他,"
特開昭53-004637,            特願昭51-078404,1976/06/30,1978/01/17,スキ－靴安全締具,■すぎ■田　美敏,",A63C9/08@A,"
特開昭53-004636,            特願昭51-076600,1976/06/30,1978/01/17,ツア－及び滑降用安全スキ－ビンデング,ハインリツヒ・ウンデル・コマンデイトゲゼルシヤフト,",A63C9/02,A63C9/082,"
特開昭53-003165,            特願昭51-077407,1976/06/30,1978/01/12,ワイヤ－ボンデイング装置,東京芝浦電気株式会社,",G05D3/12@H,H01L21/60,301@L,"
特開昭52-156044,            特願昭52-072743,1977/06/18,1977/12/26,スキ－靴,ジヨエル　ハワ－ド　アイゼンバ－グ,",A43B5/04@E,"
特開昭52-155418,            特願昭51-071223,1976/06/18,1977/12/23,タンク等の構造物の固定方法,三井造船株式会社,",B65D88/06@A,B65D88/06@B,B65D88/78@A,他,"
特開昭52-155096,            特願昭51-065213,1976/06/04,1977/12/23,半導体発光表示装置,東京芝浦電気株式会社,",G09F9/33@B,G09F9/33,H01L33/00@N,他,"
特開昭52-154439,            特願昭52-068032,1977/06/10,1977/12/22,スキ－ボ－ド,東陶機器株式会社,",A63C5/03,"
特開昭52-143128,            特願昭52-015567,1977/02/17,1977/11/29,距離競技用スキ－靴,アドルフ　ダスラ－,",A43B5/04@S,A63C9/00@B,A63C9/02,"
特開昭52-141734,            特願昭52-055922,1977/05/14,1977/11/26,スキ－靴の固定具,　アデイダス　フアブリ－ク　ド　シヨ－スユ－ル　ド　スポ－ル,",A63C9/10,A63C9/20,"
特開昭52-139527,            特願昭52-053803,1977/05/12,1977/11/21,スキ－ビンデイング用安全解放部材,ハインリツヒ・ウンデル・コマンデイトゲゼルシヤフト,",A63C9/08@A,"
特開昭52-123735,            特願昭52-040235,1977/04/08,1977/10/18,スキ－ビンディング装置,ヴェルナ－・ヘルツィック,",A63C9/00@B,"
特開昭52-120048,            特願昭52-033425,1977/03/28,1977/10/08,スキ－ブ－ツ用閉止装置,ソシエテ・アノニム・デ・エタブリスマン・フランソワ・サロモン・エ・フイル,",A43B5/04@J,A43C11/14,F16B2/08@N,"
特開昭52-120038,            特願昭52-033937,1977/03/26,1977/10/08,スキ－制動装置,ジ－ン・ジヨセフ・アルフレツド・ベイル,",A63C7/10@B,"
特開昭52-116333,            特願昭52-031454,1977/03/22,1977/09/29,セフテ－・スキ－・ビンデイングの前爪,ハンネス　マ－カ－,",A63C9/085,"
特開昭52-113837,            特願昭52-031006,1977/03/19,1977/09/24,セフテ－・スキ－・ビンデイングの前爪,ハンネス　マ－カ－,",A63C9/085,"
特開昭52-113836,            特願昭52-013132,1977/02/10,1977/09/24,足に装着するスポ－ツ用具,ソシエテ・アノニム・デ・エタブリスマン・フランソワ・サロモン・エ・フイル,",A43C11/00,A63C9/088,A63C13/00,"
特開昭52-106945,            特願昭51-086484,1976/07/20,1977/09/08,安全スキ－ビンデイング用のヒ－ルリテイナ,ハンネス　マ－カ－,",A63C9/084,"
実全昭52-116367,            実願昭51-024917,1976/03/02,1977/09/03,スキ－用補強板,株式会社西沢,",A63C5/14@A,"
特開昭52-105036,            特願昭52-012582,1977/02/09,1977/09/03,スキ－,　ケストレ・ゲゼルシヤフト・ミツト・ベシユレンクテル・ハフツング,",A63C5/044,"
特開昭52-101138,            特願昭52-017015,1977/02/18,1977/08/24,ブ－ツクランプ可動プレ－トを備えた安全スキ－ビンデイング,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/081,A63C9/085,"
特開昭52-090336,            特願昭52-003659,1977/01/18,1977/07/29,スキ－,ハンス・マイヤ－,",A63C5/06@A,A63C5/075,A63C9/00@B,"
実全昭52-099876,            実願昭51-007080,1976/01/23,1977/07/28,スキ,日本楽器製造株式会社,",A63C5/06@A,"
実全昭52-095540,            実願昭51-003281,1976/01/16,1977/07/16,スキ－ブ－ツ,ダイワスポ－ツ　株式会社,",A43B5/04@B,A43B5/04@H,A43C11/14,"
実全昭52-094963,            実願昭51-001121,1976/01/09,1977/07/15,スキ－,日本楽器製造株式会社,",A63C5/048,"
特開昭52-084029,            特願昭50-159251,1975/12/30,1977/07/13,スキ－ヨウセ－フテイ－ビンデイング,ニツセイジユシコウギヨウ　カブシキガイシヤ,",A63C9/081,"
特開昭52-083172,            特願昭50-158498,1975/12/31,1977/07/11,チヨウオンパワイヤボンデイングソウチ,カブシキガイシヤ　シンカワセイサクシヨ,",B23K20/00@H,H01L21/60,301@D,H01L21/60,301@L,他,"
特開昭52-083169,            特願昭50-158495,1975/12/31,1977/07/11,ワイヤボンディング装置,カブシキガイシヤ　シンカワセイサクシヨ,",B23K20/00@H,H01L21/60,301@D,H01L21/60,301@L,他,"
特開昭52-083168,            特願昭50-158494,1975/12/31,1977/07/11,チヨウオンパワイヤボンデイングソウチ,カブシキガイシヤ　シンカワセイサクシヨ,",B23K20/00@H,H01L21/60,301@D,H01L21/60,301@L,他,"
特開昭52-082533,            特願昭51-155639,1976/12/22,1977/07/09,スキ－ビンデイング用足指金具,　フェルアイニヒテ　バウベスジュラ－クファブリケン　グレッチュ　ウント　ツェ－オ－・ゲ－エムベ－ハ－,",A63C9/084,A63C9/085,"
実全昭52-091754,            実願昭50-176633,1975/12/29,1977/07/08,フンタイトソウハンドウタイソウチヨウリ－ドフレ－ム,ソニ－　カブシキガイシヤ,",H01L23/50@G,"
特開昭52-078540,            特願昭50-155512,1975/12/24,1977/07/01,スキ－ストツパ,ホ－プ　カブシキガイシヤ,",A63C7/10@B,"
特開昭52-068533,            特願昭51-142375,1976/11/29,1977/06/07,回転ビンデイング用踏枠,ハインリツヒ・ウンデル・コマンデイトゲゼルシヤフト,",A63C9/00@B,A63C9/20,"
特開昭52-061961,            特願昭50-138501,1975/11/18,1977/05/21,ハンドウタイワイヤボンデイングソウチ,カブシキガイシヤ　シンカワセイサクシヨ,",G05D3/12@K,H01L21/60,301@L,"
特開昭52-060732,            特願昭51-010770,1976/02/03,1977/05/19,安全スキ－ビンヂングの踵緊締装置,ハンネス　マルケル,",A63C9/084,"
特開昭52-056642,            特願昭50-132017,1975/10/31,1977/05/10,セイフテイビンデイングノトウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
特開昭52-056641,            特願昭50-132016,1975/10/31,1977/05/10,セイフテイビンデイングトウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
特開昭52-056640,            特願昭51-130372,1976/10/29,1977/05/10,スキ－ブレ－キ手段,トラ－ク　スポルトアルチケル　ゲ－・エム・ベ－・ハ－,",A63C7/10@A,"
特開昭52-055669,            特願昭51-069628,1976/06/14,1977/05/07,変換器,ソシエテ・スイセ・ポ－ル・エル・インダストリ－・ホ－ロゲル・マネ－ジメント・サ－ビセス・エス・エ－,",G04F10/00@K,G04G1/00,316,G04G3/00,他,"
実全昭52-059571,            実願昭50-147480,1975/10/28,1977/04/30,スキ－ヨウストツク,ノムラ　キミヒコ,",A63C11/22@D,"
実全昭52-058954,            実願昭50-146011,1975/10/28,1977/04/28,半導体ダイスボンダ,富士通株式会社,",H01L21/52@F,H01L21/66@A,"
特開昭52-049152,            特願昭51-118610,1976/10/04,1977/04/19,スキ－ぐつ,ダニエル、ポスト,",A43B5/04@E,"
実全昭52-049851,            実願昭50-136424,1975/10/06,1977/04/08,ジユシフウシガタ　コンセイシユウセキカイロブヒン,トウコウ　カブシキガイシヤ,",H01L23/30@B,H05K3/28@G,H05K5/00@B,"
実全昭52-046669,            実願昭50-110764,1975/08/11,1977/04/02,ハツコウダイオ－ド,スタンレ－デンキ　カブシキガイシヤ,",H01L23/48@Y,H01L33/00@N,H01L33/00,424,他,"
実全昭52-043572,            実願昭50-129834,1975/09/22,1977/03/28,スキ－ヨウクツトリツケジザイコウゾウ,アオシマ　ケンジ,",A63C9/08@A,"
特開昭52-039431,            特願昭50-113565,1975/09/18,1977/03/26,クロスカントリ－スキ－ヨウヒ－ルビンデイング,ヘルベルト　イ－ゼル－イ－ゼル,",A63C9/18,"
特開昭52-026940,            特願昭51-100110,1976/08/21,1977/02/28,スキ－靴,パ－　アンカ－,",A43B5/04@E,"
実全昭52-025075,            実願昭50-110625,1975/08/11,1977/02/22,スキ－ノナガレドメ,スズキ　シヨウジ,",A63C9/00@D,"
特開昭52-021943,            特願昭51-093255,1976/08/06,1977/02/18,スキ－制動装置,ソシエテ・アノニム・エタブリスマン・フランソワ－ズ・サロモン・エ・フイルス,",A63C7/10@B,"
特開昭52-017932,            特願昭51-088973,1976/07/26,1977/02/10,スキ－ブレ－キ,ハンネス　マ－カ－,",A63C7/10@B,"
特開昭52-015737,            特願昭51-086638,1976/07/22,1977/02/05,スキ－制動装置,ソシエテ・アノニム・エタブリスマン・フランソワ－ズ・サロモン・エ・フイルス,",A63C7/10@B,"
実全昭52-013169,            実願昭50-099136,1975/07/17,1977/01/29,スキ－,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C5/06@A,A63C5/06@B,A63C9/00@B,他,"
実全昭52-009572,            実願昭50-094853,1975/07/08,1977/01/22,スキ－ストツパ－,イトウ　シヨウジ,",A63C7/10@B,"
特開昭52-008355,            特願昭51-078495,1976/06/30,1977/01/22,スキ－靴での歩行を容易にする装置,ハンス　バルダ－,",A43C15/00@A,A63C13/00,"
特開昭52-008342,            特願昭51-077659,1976/06/30,1977/01/22,スキ－靴及びスキ－靴用スキ－・ビンデイング,カ－ル－ハインツ　ロ－マイヤ－,",A43B5/04@S,A63C9/086,"
特開昭52-006240,            特願昭50-080751,1975/06/30,1977/01/18,スキ－ヨウグウンパンソウチ,ダグラス　エス　ウイルキンス,",A63C11/02@A,"
実全昭52-003782,            実願昭50-089198,1975/06/24,1977/01/11,スキ－ビンデイングヒ－ルピ－スノ　カカトオサエ,ホ－プ　カブシキガイシヤ,",A63C9/084,"
特開昭52-002632,            特願昭51-070939,1976/06/16,1977/01/10,スキ－のセ－フティビンディング,フエルアイニヒテ　バウベスジユラ－クフアブリケングレツチユ　ウント　ツエオ－．ゲ－エムベ－ハ－,",A63C9/083,"
特開昭52-002630,            特願昭51-070913,1976/06/16,1977/01/10,スキ－ブレ－キ,ハンネス　マ－カ－,",A63C7/10@B,"
特開昭51-147174,            特願昭51-054834,1976/05/15,1976/12/17,ワイヤ接続方法及びワイヤ接続装置,ザ　ウエルデイング　インステイチユト,",B23K35/02@L,H01L21/60,301@H,"
特開昭51-145370,            特願昭51-062158,1976/05/28,1976/12/14,電子回路パツケ－ジ,テキサス・インスツルメンツ・インコ－ポレイテツド,",G04G1/00,303,G04G1/00,305@B,G04G1/00,他,"
実公昭51-051334,            実願昭45-090702,1970/09/14,1976/12/09,スキ－ヒ゛ンテ゛インク゛,日本楽器製造株式会社,",A63C9/085,"
特公昭51-046008,            特願昭45-111666,1970/12/14,1976/12/07,アンセ゛ンスキ－ヒ゛ンテ゛インク゛ノツマサキ アルイハ カカトホルタ゛ノアンセ゛ンカイホウ ノタメニ コクフクサレルヘ゛キ ホシ゛リヨクオチヨウセツスルソウチ,ハンネス　マルケル,",A63C9/085,F16F1/12@Z,"
実全昭51-146974,            実願昭50-068154,1975/05/20,1976/11/25,リ－ドフレ－ム,ミツビシデンキ　カブシキガイシヤ,",H01L23/50@H,"
特開昭51-136285,            特願昭50-059657,1975/05/21,1976/11/25,ハンドウタイソウチノセイゾウホウホウ,トウキヨウシバウラデンキ　カブシキガイシヤ,",H01L23/50@D,"
特開昭51-135727,            特願昭51-048667,1976/04/30,1976/11/24,スキ－流れ止め,ソシエテ　アノニム　エタブリスマン　フランソワ　サロモン　エ　フイス,",A63C7/10@B,"
特開昭51-135471,            特願昭51-053756,1976/05/11,1976/11/24,超小形電子回路の被覆装置,エヌ、シ－、ア－ル、コ－ポレ－シヨン,",H01L21/283@B,H01L21/283@W,H01L21/56@F,他,"
特開昭51-135447,            特願昭50-060834,1975/05/20,1976/11/24,ストリツプ線路の基板間接続方法,松下電器産業株式会社,",H01P1/04,H01P3/08,H01P5/02@Z,他,"
実全昭51-145165,            実願昭50-066547,1975/05/17,1976/11/22,スキ－イタリヨウソリ,ホソノ　ヒデオ,",B62B17/06,"
特開昭51-134236,            特願昭51-004173,1976/01/19,1976/11/20,スキ－クランプ装置,ケネコット・コ－ポレ－ション,",A63C11/02@A,A63C11/06,"
特開昭51-126003,            特願昭49-038099,1974/04/05,1976/11/02,交換方式,インタ－ナシヨナル　スタンダ－ド　エレクトリツク　コ－ポレ－シヨン,",H04Q11/00,H04Q11/02,"
特開昭51-122523,            特願昭51-040812,1976/04/10,1976/10/26,安全スキ－ビンデイング装置,ジ－ン　ジヨセフ　アルフレツド　ペイル,",A63C9/081,"
特開昭51-122522,            特願昭51-038849,1976/04/08,1976/10/26,スキー用安全装置,ソシエテ　アノニム　エタブリスマン　フランソワ　サロモン　エフイス　ジヨルジユ　ピエール　ジヨゼフ　サロモン,",A63C7/10@B,A63C9/086,"
実全昭51-129374,            実願昭50-046634,1975/04/04,1976/10/19,スキ－ノ　カントチヨウセイソウチ,ニホンデンシコウギヨウ　カブシキガイシヤ,",A63C9/081,"
特開昭51-108934,            特願昭51-018392,1976/02/21,1976/09/27,スキ－の流れ止め,ハンス　マルチン,",A63C7/10@B,"
特開昭51-106531,            特願昭51-015385,1976/02/14,1976/09/21,スキ－・ブレ－キ,フランツ　ブリユツクル,",A63C7/10@B,"
実全昭51-112426,            実願昭50-029864,1975/03/05,1976/09/11,ヒヨウメンハフイルタ,ソニ－　カブシキガイシヤ,",H03H3/08@X,H03H3/08,H03H9/145@C,"
